tube_assembly_id,cost
TA-00002,21.9059330191461
TA-00004,21.9727024365273
TA-00005,28.3742203279491
TA-00012,22.4150498266777
TA-00014,21.9949589089877
TA-00024,20.9349944080613
TA-00025,20.7819811598961
TA-00052,29.5593774864653
TA-00056,28.646862115589
TA-00061,21.3217006170607
TA-00076,22.5068577755769
TA-00078,21.6054706409308
TA-00080,21.5387012235496
TA-00082,21.4914062195712
TA-00083,21.4914062195712
TA-00084,21.5971244637581
TA-00085,21.5637397550675
TA-00086,21.1909438413559
TA-00087,21.2159823728738
TA-00091,21.5387012235496
TA-00092,21.5720859322402
TA-00093,21.5971244637581
TA-00096,21.3801238572692
TA-00099,27.3420764175982
TA-00108,31.2369590981677
TA-00119,21.6555477039667
TA-00120,21.4663676880533
TA-00121,21.4663676880533
TA-00123,28.5244515170568
TA-00125,28.5717465210351
TA-00130,14.1551164848127
TA-00132,28.2351173750716
TA-00145,21.9921768499302
TA-00147,22.067292444484
TA-00148,21.8280353655347
TA-00149,21.7612659481535
TA-00150,21.8280353655347
TA-00153,21.4747138652259
TA-00161,21.6277271133912
TA-00175,30.7028037591182
TA-00190,21.2855338493126
TA-00205,27.5201281972814
TA-00222,21.3077903217729
TA-00249,26.0289445424347
TA-00264,21.4635856289957
TA-00270,28.4159512138124
TA-00293,27.8595394023024
TA-00294,27.9040523472232
TA-00296,21.5498294597798
TA-00297,21.2688414949673
TA-00312,21.2799697311975
TA-00314,28.2685020837622
TA-00315,28.2879764971651
TA-00323,13.2398190548789
TA-00334,21.4635856289957
TA-00335,21.9615742002971
TA-00338,21.8280353655347
TA-00370,22.1396259799803
TA-00386,21.4162906250174
TA-00393,161.946439799024
TA-00440,29.4981721871992
TA-00441,23.408244910223
TA-00458,21.7640480072111
TA-00461,21.9114971372612
TA-00462,17.8079600273755
TA-00463,18.9402580637982
TA-00471,21.5887782865855
TA-00472,21.4663676880533
TA-00488,28.8110035999844
TA-00489,28.479938572136
TA-00492,29.6344930810191
TA-00493,29.3145562894009
TA-00494,29.5844160179832
TA-00495,29.4926080690841
TA-00497,25.483660967155
TA-00500,27.9791679417771
TA-00511,24.0036055485386
TA-00513,27.6898337997919
TA-00544,21.6944965307724
TA-00546,28.9111577260562
TA-00569,28.591220934438
TA-00586,27.6035899690079
TA-00610,21.449675333708
TA-00655,22.2592545194549
TA-00656,22.1340618618652
TA-00662,28.1655658986329
TA-00678,28.9389783166317
TA-00679,29.5120824824869
TA-00681,29.3284665846887
TA-00688,20.3591081831485
TA-00695,21.9727024365273
TA-00696,21.5637397550675
TA-00697,25.5810330341692
TA-00717,28.0264629457554
TA-00719,28.4910668083662
TA-00731,27.6453208548711
TA-00736,28.0681938316187
TA-00737,28.7247597692004
TA-00740,22.3733189408145
TA-00741,22.4484345353683
TA-00742,22.7155122048931
TA-00747,31.0700355547148
TA-00759,22.1674465705558
TA-00761,28.393694741352
TA-00763,29.8459295693929
TA-00764,21.7779583024988
TA-00768,28.5411438714021
TA-00770,29.2783895216528
TA-00772,13.4540376023102
TA-00775,27.6536670320438
TA-00776,21.2688414949673
TA-00779,30.104661061745
TA-00790,29.8153269197599
TA-00808,25.8230721721761
TA-00832,22.8184483900224
TA-00834,28.4743744540209
TA-00847,22.2954212872031
TA-00850,21.672240058312
TA-00859,28.4131691547548
TA-00864,29.4564413013359
TA-00875,20.6289679117308
TA-00885,29.4926080690841
TA-00886,29.3701974705519
TA-00888,22.1980492201888
TA-00890,21.8975868419735
TA-00891,22.3176777596635
TA-00902,22.3872292361022
TA-00914,21.3912520934994
TA-00922,26.379483983686
TA-00928,27.9986423551799
TA-00930,21.6666759401969
TA-00975,21.9671383184122
TA-00981,27.837282929842
TA-00982,27.8428470479571
TA-00983,28.2490276703594
TA-00984,22.7711533860441
TA-00985,21.8642021332829
TA-00994,21.6444194677365
TA-00995,21.7223171213478
TA-00996,21.6221629952761
TA-00998,22.092330976002
TA-01007,21.4580215108806
TA-01033,28.7776188912938
TA-01034,27.8817958747628
TA-01040,28.70250329674
TA-01042,21.42463680219
TA-01044,21.394034152557
TA-01045,29.7735960338966
TA-01047,23.580732571791
TA-01057,29.9349554592345
TA-01061,22.2314339288794
TA-01062,22.1368439209228
TA-01066,21.4635856289957
TA-01068,21.4107265069023
TA-01071,28.5940029934955
TA-01072,27.8706676385326
TA-01074,27.9096164653383
TA-01102,25.5281739120758
TA-01118,22.3065495234333
TA-01125,22.740550736411
TA-01134,28.4215153319275
TA-01140,21.7362274166356
TA-01144,21.5553935778949
TA-01148,21.4162906250174
TA-01152,22.3343701140088
TA-01169,25.1025188762707
TA-01171,22.5207680708646
TA-01172,21.4635856289957
TA-01173,21.8920227238584
TA-01174,21.2577132587371
TA-01181,22.6459607284543
TA-01182,22.5875374882458
TA-01186,22.7127301458355
TA-01187,27.7371288037702
TA-01188,21.616598877161
TA-01189,27.6063720280654
TA-01191,21.7696121253262
TA-01195,21.9420997868943
TA-01205,21.1659053098379
TA-01229,237.298509372757
TA-01230,28.4298615091001
TA-01242,29.0752992104516
TA-01247,21.394034152557
TA-01267,21.2410209043918
TA-01268,21.3077903217729
TA-01273,21.0351485341331
TA-01274,21.956010082182
TA-01278,21.0268023569604
TA-01286,22.0756386216567
TA-01287,21.2577132587371
TA-01292,22.907474279864
TA-01302,29.0558247970488
TA-01303,29.0558247970488
TA-01307,21.6277271133912
TA-01312,28.9974015568402
TA-01316,39.2159044752202
TA-01325,20.5872370258676
TA-01343,22.1284977437501
TA-01349,21.8530738970527
TA-01350,22.5235501299222
TA-01352,22.0033050861604
TA-01356,21.6305091724487
TA-01357,21.5553935778949
TA-01358,21.956010082182
TA-01360,28.7275418282579
TA-01362,27.1668066969726
TA-01363,27.1528964016848
TA-01401,21.7306632985205
TA-01404,27.5562949650295
TA-01425,28.4994129855389
TA-01431,21.7557018300384
TA-01433,25.0580059313499
TA-01434,25.1581600574217
TA-01435,28.0932323631366
TA-01436,28.3463997373736
TA-01437,27.7538211581155
TA-01438,28.2545917884745
TA-01441,27.4950896657634
TA-01443,27.6175002642956
TA-01467,21.3495212076362
TA-01470,22.0812027397718
TA-01471,22.2314339288794
TA-01478,27.5256923153965
TA-01479,28.4855026902511
TA-01480,28.7915291865816
TA-01481,21.5553935778949
TA-01484,21.2910979674276
TA-01488,20.8098017504716
TA-01503,21.3217006170607
TA-01505,21.7167530032327
TA-01509,21.6583297630242
TA-01516,21.3995982706721
TA-01517,21.7084068260601
TA-01519,21.616598877161
TA-01527,21.4580215108806
TA-01529,27.9318729377987
TA-01530,24.2428626274879
TA-01537,22.0339077357934
TA-01554,31.1368049720959
TA-01556,26.5241510546786
TA-01566,28.0515014772734
TA-01567,28.0515014772734
TA-01589,27.5757693784324
TA-01597,21.5581756369524
TA-01617,26.6270872398079
TA-01624,25.1887627070547
TA-01649,22.0812027397718
TA-01650,28.8638627220779
TA-01654,22.1284977437501
TA-01655,27.948565292144
TA-01665,20.5928011439827
TA-01667,21.4274188612476
TA-01679,21.3801238572692
TA-01680,21.7529197709809
TA-01681,21.1325206011473
TA-01682,21.7529197709809
TA-01704,21.3411750304635
TA-01706,21.6778041764271
TA-01718,26.3294069206501
TA-01719,30.4663287392265
TA-01721,22.8351407443677
TA-01723,23.0994363548349
TA-01728,28.5105412217691
TA-01729,22.1730106886709
TA-01736,22.3538445274116
TA-01738,21.7779583024988
TA-01746,21.7640480072111
TA-01758,21.8558559561102
TA-01763,22.0756386216567
TA-01767,23.7253996427836
TA-01769,23.7448740561865
TA-01771,24.5433250057032
TA-01773,21.5637397550675
TA-01774,21.8502918379951
TA-01777,29.6984804393428
TA-01783,28.3575279736038
TA-01784,27.7927699849212
TA-01787,21.6833682945422
TA-01788,21.6917144717148
TA-01816,22.9909360515905
TA-01828,23.1689878312737
TA-01831,28.0375911819856
TA-01837,23.0521413508566
TA-01860,21.5470474007222
TA-01867,22.3927933542173
TA-01874,21.9087150782037
