tube_assembly_id,diameter,wall,length,num_bends,bend_radius,adaptor,nut,sleeve,threaded,boss,straight,elbow,other,float,hfl,tee,weighted,not weighted,total weight,S-0066,S-0041,S-0072,S-0054,S-0026,S-0013,others,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,1,21.9059330191461
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,2,12.3412139792904
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,5,6.60182614356538
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,10,4.6877695119712
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,25,3.54156118026073
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,50,3.22440644770007
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,100,3.08252143576504
TA-00002,6.35,0.71,137,8,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,250,2.99905966403855
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,1,21.9727024365273
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,2,12.4079833966715
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,5,6.66859556094657
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,10,4.75453892935239
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,25,3.60833059764193
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,50,3.29117586508126
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,100,3.14929085314623
TA-00004,6.35,0.71,137,9,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,250,3.06582908141974
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,1,28.3742203279491
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,2,16.5143025656149
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,5,9.3977954964028
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,10,7.02748117937048
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,25,5.60306694190504
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,50,5.19410426044524
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,100,5.00770630358941
TA-00005,19.05,1.24,109,4,50.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0.21,1,0,0,0,0,0,0,0,0,Yes,250,4.89642394128743
TA-00012,6.35,0.71,207,7,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,1,22.4150498266777
TA-00012,6.35,0.71,207,7,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,2,12.8503307868219
TA-00012,6.35,0.71,207,7,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,5,7.11372501015452
TA-00012,6.35,0.71,207,7,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,10,5.19966837856034
TA-00012,6.35,0.71,207,7,19.05,2,0,0,0,0,0,0,0,0,0,0,1,0,0.018,1,0,0,0,0,0,0,0,0,Yes,25,4.05067798779232
