id,cost
1,25.719122157
2,14.0299400958
3,8.60217730378
4,7.28480915852
5,5.34944906906
6,4.93945518352
7,4.82790663538
8,4.75677691925
9,22.5999442157
10,12.8330142505
11,6.98549401149
12,4.57235217353
13,3.61268102585
14,3.21303132677
15,3.12217731911
16,3.04233213632
17,24.8798338018
18,14.932593722
19,8.29410039266
20,6.53251098262
21,4.56773942436
22,4.12535005133
23,3.91568708504
24,3.85569102662
25,26.0258068976
26,14.2024510696
27,8.79457580817
28,7.45081044176
29,5.74158654357
30,5.57276266305
31,5.44932000549
32,5.37060680118
33,23.3584142816
34,13.2775924081
35,7.47981175538
36,5.07017924812
37,3.87921239721
38,3.67111222967
39,3.58078901798
40,3.49206068143
41,8.12986379959
42,66.3472192891
43,14.6948234746
44,28.1583327457
45,19.4527933436
46,11.3452442328
47,9.71957564292
48,7.91010832787
49,7.70539219118
50,7.49427626776
51,7.39060460893
52,35.3816847862
53,21.5946291492
54,11.3450036417
55,8.04849989669
56,5.06311617037
57,11.3404299139
58,32.944671733
59,18.7172695288
60,9.35261760617
61,9.35261760617
62,4.68844336733
63,24.1400873975
64,14.4771781654
65,8.11290982923
66,6.38566299826
67,4.81135410151
68,4.47799601176
69,4.25390733846
70,4.18978400741
71,10.4110122361
72,5.13078038825
73,5.09541033194
74,4.00423665942
75,15.4807510895
76,22.8969322131
77,13.007096439
78,6.90108908148
79,4.34574979401
80,3.3092504797
81,2.88371280981
82,2.74358163619
83,2.80623445539
84,12.2299750101
85,15.8370740733
86,10.5633398814
87,10.8022319256
88,10.5249632004
89,22.1810724304
90,12.5874942051
91,6.99055021255
92,4.80053228419
93,3.70311473138
94,3.42158549396
95,3.26204751494
96,3.21002971825
97,4.1602988785
98,21.3380999754
99,12.1634216125
100,6.2232350381
101,4.13811907104
102,2.92560431003
103,2.4184460902
104,2.27551813543
105,2.23554037159
106,21.8339761431
107,12.4556357925
108,6.15073503801
109,4.07806983315
110,3.12597466548
111,2.54529856484
112,2.46028391087
113,2.51819544141
114,4.07627901703
115,7.90761525348
116,20.8751859594
117,14.7628699696
118,14.7628699696
119,13.6729237828
120,23.8948401823
121,16.2467571822
122,15.6289022617
123,9.99617507476
124,29.2371346015
125,14.9394525797
126,9.75428744367
127,5.47564618103
128,3.75548780357
129,3.69666309076
130,3.51439986447
131,8.41672011589
132,25.7017459467
133,10.9844812897
134,9.32688975199
135,8.51003939141
136,3.33031740016
137,13.2145881031
138,13.2145881031
139,8.39736831066
140,6.03295258676
141,3.31478678656
142,23.5692593697
143,13.4011745061
144,6.74339889267
145,4.49894802617
146,3.52962123218
147,3.02481667188
148,2.92830393002
149,2.85221400931
150,15.1763991681
151,36.2684146258
152,25.003120746
153,14.0906710833
154,7.53793518901
155,6.29439749406
156,5.76491065099
